Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Witchcliffe,11.9,28.3,5.468231522922462,7.6111775206611565,No,20.5,135.0,57.5,4.449405780817289,22.6,1013.5,22.5,18.5
Witchcliffe,15.1,28.8,5.468231522922462,7.6111775206611565,No,16.5,146.25,56.5,4.449405780817289,24.45,1011.9,11.25,33.5
Witchcliffe,16.6,24.7,5.468231522922462,7.6111775206611565,No,23.0,157.5,60.0,4.449405780817289,22.0,1016.55,-22.5,21.0
Witchcliffe,13.9,29.9,5.468231522922462,7.6111775206611565,No,16.5,146.25,53.0,4.449405780817289,24.450000000000003,1018.5,11.25,27.5
Witchcliffe,15.6,30.1,5.468231522922462,7.6111775206611565,No,18.5,146.25,63.5,4.449405780817289,23.6,1016.5,11.25,25.5
Witchcliffe,17.5,26.1,5.468231522922462,7.6111775206611565,No,22.0,146.25,62.0,4.449405780817289,21.85,1017.1500000000001,11.25,32.0
Witchcliffe,13.9,27.2,5.468231522922462,7.6111775206611565,No,24.0,135.0,54.0,4.449405780817289,21.65,1017.45,22.5,26.0
Witchcliffe,13.0,27.3,5.468231522922462,7.6111775206611565,No,19.5,135.0,59.5,4.449405780817289,21.9,1017.95,22.5,28.5
Witchcliffe,14.6,28.7,5.468231522922462,7.6111775206611565,No,18.5,157.5,60.5,4.449405780817289,22.799999999999997,1018.05,22.5,20.5
Witchcliffe,15.6,26.7,5.468231522922462,7.6111775206611565,No,16.0,146.25,74.5,4.449405780817289,21.8,1015.65,33.75,21.0
Witchcliffe,12.7,32.6,5.468231522922462,7.6111775206611565,No,14.0,157.5,49.0,4.449405780817289,26.15,1009.8499999999999,135.0,17.0
Witchcliffe,14.4,21.8,5.468231522922462,7.6111775206611565,No,15.5,258.75,82.5,4.449405780817289,19.950000000000003,1008.8,-11.25,27.5
Witchcliffe,9.4,23.3,5.468231522922462,7.6111775206611565,Yes,17.0,213.75,49.0,4.449405780817289,20.6,1017.5999999999999,11.25,14.0
Witchcliffe,10.4,24.6,5.468231522922462,7.6111775206611565,No,12.0,135.0,52.5,4.449405780817289,20.7,1019.7,22.5,31.0
Witchcliffe,12.19403438096892,37.8,5.468231522922462,7.6111775206611565,No,14.5,180.0,38.5,4.449405780817289,28.95,1012.05,112.5,24.5
Witchcliffe,15.8,26.7,5.468231522922462,7.6111775206611565,No,27.0,168.75,57.5,4.449405780817289,23.6,1017.75,-11.25,23.0
Witchcliffe,17.0,23.4,5.468231522922462,7.6111775206611565,No,24.0,146.25,64.0,4.449405780817289,19.6,1018.9,11.25,33.0
Witchcliffe,14.0,22.9,5.468231522922462,7.6111775206611565,No,19.5,135.0,47.5,4.449405780817289,19.35,1020.2,0.0,28.5
Witchcliffe,17.0,23.7,5.468231522922462,7.6111775206611565,No,16.0,270.0,59.0,4.449405780817289,22.1,1015.15,0.0,25.0
Witchcliffe,17.2,24.2,5.468231522922462,7.6111775206611565,Yes,14.0,236.25,80.0,4.449405780817289,20.4,1013.5,11.25,17.0
Witchcliffe,18.3,24.9,5.468231522922462,7.6111775206611565,No,15.0,236.25,69.0,4.449405780817289,21.75,1013.4,-11.25,16.0
Witchcliffe,8.1,26.9,5.468231522922462,7.6111775206611565,No,8.5,168.75,56.0,4.449405780817289,22.3,1015.0999999999999,56.25,19.5
Witchcliffe,16.5,28.6,5.468231522922462,7.6111775206611565,No,18.5,123.75,59.5,4.449405780817289,23.85,1014.9,33.75,20.5
Witchcliffe,17.9,25.5,5.468231522922462,7.6111775206611565,No,19.0,180.0,66.0,4.449405780817289,22.200000000000003,1009.8,-45.0,16.0
Witchcliffe,11.7,25.1,5.468231522922462,7.6111775206611565,No,19.5,146.25,66.0,4.449405780817289,21.05,1011.4000000000001,33.75,30.5
Witchcliffe,17.0,20.7,5.468231522922462,7.6111775206611565,No,21.5,146.25,63.5,4.449405780817289,18.95,1007.8499999999999,11.25,24.5
Witchcliffe,16.4,24.1,5.468231522922462,7.6111775206611565,No,16.5,157.5,47.5,4.449405780817289,20.9,1011.05,0.0,22.5
Witchcliffe,9.8,24.7,5.468231522922462,7.6111775206611565,No,19.5,146.25,62.0,4.449405780817289,20.049999999999997,1012.75,11.25,30.5
Witchcliffe,17.4,32.6,5.468231522922462,7.6111775206611565,No,16.5,146.25,58.0,4.449405780817289,26.4,1010.35,11.25,16.5
Witchcliffe,20.3,31.6,5.468231522922462,7.6111775206611565,No,14.5,180.0,71.5,4.449405780817289,26.1,1013.05,-22.5,24.5
Witchcliffe,20.0,31.8,5.468231522922462,7.6111775206611565,No,10.0,191.25,68.0,4.449405780817289,26.05,1011.35,101.25,20.0
Witchcliffe,20.1,27.1,5.468231522922462,7.6111775206611565,No,17.5,168.75,63.0,4.449405780817289,23.85,1012.15,-11.25,23.5
Witchcliffe,12.19403438096892,22.5,5.468231522922462,7.6111775206611565,No,17.0,202.5,48.5,4.449405780817289,19.6,1010.55,45.0,24.0
Witchcliffe,15.0,21.9,5.468231522922462,7.6111775206611565,No,22.5,168.75,48.0,4.449405780817289,18.75,1016.0999999999999,11.25,25.5
Witchcliffe,9.8,25.4,5.468231522922462,7.6111775206611565,No,21.5,123.75,50.0,4.449405780817289,20.4,1020.8499999999999,11.25,26.5
Witchcliffe,12.0,30.8,5.468231522922462,7.6111775206611565,No,17.0,112.5,47.5,4.449405780817289,23.549999999999997,1019.8,0.0,20.0
Witchcliffe,15.6,31.9,5.468231522922462,7.6111775206611565,No,11.0,78.75,42.0,4.449405780817289,25.5,1017.55,-11.25,22.0
Witchcliffe,11.9,35.8,5.468231522922462,7.6111775206611565,No,15.5,202.5,31.5,4.449405780817289,29.8,1011.95,157.5,28.5
Witchcliffe,19.1,28.9,5.468231522922462,7.6111775206611565,No,8.0,90.0,57.5,4.449405780817289,23.85,1008.95,112.5,40.0
Witchcliffe,16.0,21.8,5.468231522922462,7.6111775206611565,Yes,26.5,135.0,54.0,4.449405780817289,19.15,1018.6,0.0,40.5
Witchcliffe,16.4,29.6,5.468231522922462,7.6111775206611565,No,28.0,146.25,65.5,4.449405780817289,23.1,1012.0,-11.25,28.0
Witchcliffe,17.2,29.1,5.468231522922462,7.6111775206611565,Yes,16.0,180.0,61.0,4.449405780817289,23.9,1008.4000000000001,-22.5,17.0
Witchcliffe,15.1,24.0,5.468231522922462,7.6111775206611565,No,15.5,213.75,64.0,4.449405780817289,20.9,1012.15,-33.75,23.5
Witchcliffe,14.4,23.7,5.468231522922462,7.6111775206611565,No,22.0,168.75,62.5,4.449405780817289,20.55,1015.85,-11.25,22.0
Witchcliffe,10.5,24.7,5.468231522922462,7.6111775206611565,No,20.5,135.0,54.0,4.449405780817289,20.299999999999997,1016.25,45.0,25.5
Witchcliffe,9.7,25.8,5.468231522922462,7.6111775206611565,No,18.5,135.0,59.0,4.449405780817289,19.6,1016.9000000000001,22.5,27.5
Witchcliffe,12.3,31.3,5.468231522922462,7.6111775206611565,No,17.5,146.25,53.5,4.449405780817289,23.55,1017.5,11.25,21.5
Witchcliffe,14.5,33.5,5.468231522922462,7.6111775206611565,No,8.5,202.5,40.0,4.449405780817289,27.0,1011.9,-22.5,26.5
Witchcliffe,16.2,23.4,5.468231522922462,7.6111775206611565,No,25.0,168.75,53.0,4.449405780817289,20.549999999999997,1016.0,-11.25,21.0
Witchcliffe,9.6,29.3,5.468231522922462,7.6111775206611565,No,10.0,123.75,51.5,4.449405780817289,21.05,1014.05,11.25,21.0
Witchcliffe,13.3,20.8,5.468231522922462,7.6111775206611565,No,19.0,236.25,68.5,4.449405780817289,19.65,1006.3,-11.25,18.0
Witchcliffe,14.9,20.5,5.468231522922462,7.6111775206611565,Yes,16.5,281.25,75.0,4.449405780817289,16.65,1005.1500000000001,-11.25,37.5
Witchcliffe,12.8,20.8,5.468231522922462,7.6111775206611565,Yes,17.5,213.75,56.5,4.449405780817289,17.35,1017.0,11.25,13.5
Witchcliffe,6.8,24.3,5.468231522922462,7.6111775206611565,No,5.5,78.75,56.0,4.449405780817289,18.65,1017.55,101.25,25.5
Witchcliffe,14.0,25.5,5.468231522922462,7.6111775206611565,No,25.0,135.0,62.0,4.449405780817289,20.65,1013.65,22.5,29.0
Witchcliffe,15.7,25.8,5.468231522922462,7.6111775206611565,Yes,12.0,135.0,85.0,4.449405780817289,21.049999999999997,1005.95,45.0,27.0
Witchcliffe,15.1,19.4,5.468231522922462,7.6111775206611565,Yes,26.0,180.0,58.0,4.449405780817289,17.3,1012.2,22.5,31.0
Witchcliffe,13.1,20.3,5.468231522922462,7.6111775206611565,No,19.5,157.5,49.0,4.449405780817289,17.55,1026.35,0.0,23.5
Witchcliffe,6.5,26.0,5.468231522922462,7.6111775206611565,No,10.0,112.5,51.0,4.449405780817289,18.7,1028.2,45.0,27.0
Witchcliffe,8.4,28.9,5.468231522922462,7.6111775206611565,No,12.0,202.5,55.0,4.449405780817289,21.4,1024.35,-67.5,18.0
Witchcliffe,15.2,24.2,5.468231522922462,7.6111775206611565,No,24.0,146.25,68.5,4.449405780817289,20.7,1022.5999999999999,11.25,30.0
Witchcliffe,11.1,28.0,5.468231522922462,7.6111775206611565,No,13.0,90.0,57.0,4.449405780817289,20.299999999999997,1021.55,0.0,18.0
Witchcliffe,11.1,30.1,5.468231522922462,7.6111775206611565,No,9.0,45.0,46.0,4.449405780817289,23.4,1017.0,-45.0,19.0
Witchcliffe,11.4,35.1,5.468231522922462,7.6111775206611565,No,12.5,213.75,51.5,4.449405780817289,25.450000000000003,1013.55,101.25,22.5
Witchcliffe,12.6,22.9,5.468231522922462,7.6111775206611565,No,18.5,168.75,71.0,4.449405780817289,20.25,1015.0,11.25,20.5
Witchcliffe,8.7,22.8,5.468231522922462,7.6111775206611565,No,14.0,146.25,57.5,4.449405780817289,18.3,1016.75,78.75,21.0
Witchcliffe,10.0,21.6,5.468231522922462,7.6111775206611565,No,18.5,157.5,49.0,4.449405780817289,19.0,1021.8,22.5,24.5
Witchcliffe,7.5,25.7,5.468231522922462,7.6111775206611565,No,14.0,135.0,51.0,4.449405780817289,18.2,1022.3499999999999,22.5,25.0
Witchcliffe,11.0,32.5,5.468231522922462,7.6111775206611565,No,10.0,112.5,48.5,4.449405780817289,23.4,1014.8499999999999,-67.5,20.0
Witchcliffe,13.1,29.0,5.468231522922462,7.6111775206611565,No,17.5,157.5,74.0,4.449405780817289,22.9,1011.0,-180.0,17.5
Witchcliffe,13.9,22.5,5.468231522922462,7.6111775206611565,No,15.0,292.5,56.5,4.449405780817289,18.65,1015.25,22.5,26.0
